Resource Number,Resource Title,Author,Species - Common Name,Species - Scientific Name,Sector,Regulation,Activity,Resource Type,Taxanomic Group,URL: ,PDF Required?,Tot # of PDFs Required:,23,URL to actual document (to be included in PDF coversheet)
98,Four-leaved Milkweed ,Ontario Ministry of Natural Resources,Four-leaved Milkweed ,Asclepias quadrifolia,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FR_LVD_MLKWD_EN.html,,,,
99,Fowler's Toad ,Ontario Ministry of Natural Resources,Fowler's Toad ,Anaxyrus fowleri,~,Endangered species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FWLRS_TOAD_EN.html,,,,
100,Frosted Elfin ,Ontario Ministry of Natural Resources,Frosted Elfin ,Callophrys irus,~,Extirpated species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FRSTD_ELFN_EN.html,,,,
101,Gattinger's Agalinis ,Ontario Ministry of Natural Resources,Gattinger's Agalinis ,Agalinis gattingeri,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GTTNGRS_AGLNS_EN.html,,,,
102,Golden Eagle ,Ontario Ministry of Natural Resources,Golden Eagle ,Aquila chrysaetos,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GLDN_EGL_EN.html,,,,
103,Goldenseal ,Ontario Ministry of Natural Resources,Goldenseal ,Hydrastis canadensis,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GLDNSEAL_EN.html,,,,
104,Golden-winged Warbler ,Ontario Ministry of Natural Resources,Golden-winged Warbler ,Vermivora chrysoptera,~,Special concern species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GLDN_WNGND_WRBLR_EN.html,,,,
105,Grass Pickerel ,Ontario Ministry of Natural Resources,Grass Pickerel ,Esox americanus vermiculatus,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GRSS_PCKRL_EN.html,,,,
106,Gravel Chub ,Ontario Ministry of Natural Resources,Gravel Chub ,Erimystax x-punctata,~,Extirpated species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GRVL_CHUB_EN.html,,,,
107,Greater Prairie-Chicken ,Ontario Ministry of Natural Resources,Greater Prairie-Chicken ,Tympanuchus cupido,~,Extirpated species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GRTR_PRRI_CHCKN_EN.html,,,,
108,Green Dragon ,Ontario Ministry of Natural Resources,Green Dragon ,Arisaema dracontium,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GRN_DRGN_EN.html,,,,
109,Grey Fox ,Ontario Ministry of Natural Resources,Grey Fox ,Urocyon cinereoargenteus,~,Threatened species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GRY_FX_EN.html,,,,
110,Heart-leaved Plantain ,Ontario Ministry of Natural Resources,Heart-leaved Plantain ,Plantago cordata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HRT_LVD_PLNTN_EN.html,,,,
111,Henslow’s Sparrow ,Ontario Ministry of Natural Resources,Henslow’s Sparrow ,Ammodramus henslowii,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HNSLWS_SPRRW_EN.html,,,,
112,Hickorynut ,Ontario Ministry of Natural Resources,Hickorynut ,Obovaria olivaria,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HICKORYNUT_EN.html,,,,
113,Hill's Pondweed ,Ontario Ministry of Natural Resources,Hill's Pondweed ,Potamogeton hillii,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HLLS_PNDWD_EN.html,,,,
114,Hill's Thistle ,Ontario Ministry of Natural Resources,Hill's Thistle ,Cirsium hillii,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HLLS_THSTL_EN.html,,,,
115,Hine's Emerald ,Ontario Ministry of Natural Resources,Hine's Emerald ,Somatochlora hineana,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HINE'S_EMERALD_INS_EN.html,,,,
116,Hoary Mountain-mint ,Ontario Ministry of Natural Resources,Hoary Mountain-mint ,Pycnanthemum incanum,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HRY_MNTN_MINT_EN.html,,,,
117,Hooded Warbler ,Ontario Ministry of Natural Resources,Hooded Warbler ,Wilsonia citrina,~,Special concern species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HDD_WRBLR_EN.html,,,,
118,Horsetail Spike-rush ,Ontario Ministry of Natural Resources,Horsetail Spike-rush ,Eleocharis equisetoides,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HRSTL_SPK_RSH_EN.html,,,,
119,Houghton's Goldenrod ,Ontario Ministry of Natural Resources,Houghton's Goldenrod ,Solidago houghtonii,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HGHTNS_GLDNRD_EN.html,,,,
120,Hungerford's Crawling Water Beetle ,Ontario Ministry of Natural Resources,Hungerford's Crawling Water Beetle ,Brychius hungerfordi,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HGFRD_CR_WA_BE_INS_EN.html,,,,
121,Illinois Tick-trefoil ,Ontario Ministry of Natural Resources,Illinois Tick-trefoil ,Desmodium illinoense,~,Extirpated species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_IL_TCKTRFL_EN.html,,,,
122,Incurved Grizzled Moss ,Ontario Ministry of Natural Resources,Incurved Grizzled Moss ,Ptychomitrium incurvum,~,Extirpated species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_INCRVD_GRZLD_MSS_EN.html,,,,
123,Juniper Sedge ,Ontario Ministry of Natural Resources,Juniper Sedge ,Carex juniperorum,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_JNPR_SDG_EN.html,,,,
124,Karner Blue ,Ontario Ministry of Natural Resources,Karner Blue ,Lycaeides Melissa Samuelis,~,Extirpated species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_KRNR_BLU_EN.html,,,,
125,Kentucky Coffee-tree ,Ontario Ministry of Natural Resources,Kentucky Coffee-tree ,Gymnocladus dioicus,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_KY_CFFE_TREE_EN.html,,,,
126,Kidneyshell ,Ontario Ministry of Natural Resources,Kidneyshell ,Ptychobranchus fasciolaris,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_KDNYSHLL_EN.html,,,,
127,King Rail ,Ontario Ministry of Natural Resources,King Rail ,Rallus elegans,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_KNG_RL_EN.html,,,,
128,Kirtland’s Warbler ,Ontario Ministry of Natural Resources,Kirtland’s Warbler ,Dendroica kirtlandii,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_KRTLNDS_WRBLR_EN.html,,,,
129,Lake Chubsucker ,Ontario Ministry of Natural Resources,Lake Chubsucker ,Erimyzon sucetta,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LK_CHUBSCKR_EN.html,,,,
130,Lake Erie Watersnake ,Ontario Ministry of Natural Resources,Lake Erie Watersnake ,Nerodia sipedon insularum,~,Endangered species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LK_ERIE_WTRSNK_EN.html,,,,
131,Lakeside Daisy ,Ontario Ministry of Natural Resources,Lakeside Daisy ,Tetraneuris herbacea,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LKSD_DSY_EN.html,,,,
132,Large Whorled Pogonia ,Ontario Ministry of Natural Resources,Large Whorled Pogonia ,Isotria verticillata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LG_WHRLD_PGNIA_EN.html,,,,
133,Laura’s Clubtail ,Ontario Ministry of Natural Resources,Laura’s Clubtail ,Stylurus laurae,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LRS_CLBTL_EN.html,,,,
134,Least Bittern ,Ontario Ministry of Natural Resources,Least Bittern ,Ixobrychus exilis,~,Threatened species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LST_BTTRN_EN.html,,,,
135,Little Brown Bat ,Ontario Ministry of Natural Resources,Little Brown Bat ,Myotis lucifugus,~,Endangered species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LITTL_BRWN_BAT_EN.html,,,,
136,Louisiana Waterthrush ,Ontario Ministry of Natural Resources,Louisiana Waterthrush ,Seiurus motacilla,~,Special concern species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LUSN_WTRTHRSH_EN.html,,,,
137,Mapleleaf Mussel ,Ontario Ministry of Natural Resources,Mapleleaf Mussel ,Quadrula quadrula,~,Threatened species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_MPLLF_MSSL_EN.html,,,,
138,Massasauga Rattlesnake ,Ontario Ministry of Natural Resources,Massasauga Rattlesnake ,Sistrurus catenatus,~,Threatened species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_MSSGA_RTTLSNK_EN.html,,,,
139,Milksnake ,Ontario Ministry of Natural Resources,Milksnake ,Lampropeltis triangulum triangulum,~,Special concern species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_MLKSNK_EN.html,,,,
140,Mountain Lion (Cougar) ,Ontario Ministry of Natural Resources,Mountain Lion (Cougar) ,Puma concolor,~,Endangered species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_MNTN_LN_CGR_EN.html,,,,
141,Nodding Pogonia ,Ontario Ministry of Natural Resources,Nodding Pogonia ,Triphora trianthophora,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NDDNG_PGNIA_EN.html,,,,
142,Northern Bobwhite ,Ontario Ministry of Natural Resources,Northern Bobwhite ,Colinus virginianus,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHRN_BBWHT_EN.html,,,,
143,Northern Brook Lamprey ,Ontario Ministry of Natural Resources,Northern Brook Lamprey ,Ichthyomyzon fossor,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHN_BRK_LMPRY_EN.html,,,,
144,Northern Dusky Salamander ,Ontario Ministry of Natural Resources,Northern Dusky Salamander ,Desmognathus fuscus,~,Endangered species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTH_DSKY_SLMNDR_EN.html,,,,
145,Northern Long-eared Bat ,Ontario Ministry of Natural Resources,Northern Long-eared Bat ,Myotis septentrionalis,~,Endangered species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHRN_LNG_E_BAT_EN.html,,,,
146,Northern Madtom ,Ontario Ministry of Natural Resources,Northern Madtom ,Noturus stigmosus,~,Endangered species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHN_MDTM_EN.html,,,,
147,Northern Map Turtle ,Ontario Ministry of Natural Resources,Northern Map Turtle ,Graptemys geographica,~,Special concern species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHRN_MAP_TRTL_EN.html,,,,
148,Northern Riffleshell ,Ontario Ministry of Natural Resources,Northern Riffleshell ,Epioblasma torulosa rangiana,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHN_RFFLSHELL_EN.html,,,,
149,Paddlefish ,Ontario Ministry of Natural Resources,Paddlefish ,Polyodon spathula,~,Extirpated species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PADDLEFISH_EN.html,,,,
150,Pink Milkwort ,Ontario Ministry of Natural Resources,Pink Milkwort ,Polygala incarnata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PNK_MLKWRT_EN.html,,,,
151,Pitcher's Thistle ,Ontario Ministry of Natural Resources,Pitcher's Thistle ,Cirsium pitcheri,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PTCHRS_THSTL_EN.html,,,,
152,Prothonotary Warbler ,Ontario Ministry of Natural Resources,Prothonotary Warbler ,Protonotaria citrea,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PRTHNTRY_WRBLR_EN.html,,,,
153,Pugnose Minnow ,Ontario Ministry of Natural Resources,Pugnose Minnow ,Opsopoeodus emiliae,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PGNS_MNNW_EN.html,,,,
154,Pugnose Shiner ,Ontario Ministry of Natural Resources,Pugnose Shiner ,Notropis anogenus,~,Endangered species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PGNS_SHNR_EN.html,,,,
155,Purple Twayblade ,Ontario Ministry of Natural Resources,Purple Twayblade ,Liparis liliifolia,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PRPL_TWYBLD_EN.html,,,,
156,Pygmy Pocket Moss ,Ontario Ministry of Natural Resources,Pygmy Pocket Moss ,Fissidens exilis,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PYGMY_PCKT_MSS_EN.html,,,,
157,Pygmy Snaketail ,Ontario Ministry of Natural Resources,Pygmy Snaketail ,Ophiogomphus howei,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PYGMY_SNAKETAIL_INS_EN.html,,,,
158,Queensnake ,Ontario Ministry of Natural Resources,Queensnake ,Regina septemvittata,~,Threatened species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_QUEENSNK_EN.html,,,,
159,Rainbow Mussel ,Ontario Ministry of Natural Resources,Rainbow Mussel ,Villosa iris,~,Threatened species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RNBW_MSSL_EN.html,,,,
160,Rayed Bean ,Ontario Ministry of Natural Resources,Rayed Bean ,Villosa fabalis,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RAYED_BEAN_EN.html,,,,
161,Red-headed Woodpecker ,Ontario Ministry of Natural Resources,Red-headed Woodpecker ,Melanerpes erythrocephalus,~,Special concern species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RDHDD_WDPCKR_EN.html,,,,
162,Riddell's Goldenrod ,Ontario Ministry of Natural Resources,Riddell's Goldenrod ,Solidago riddellii,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RDDLLS_GLDNRD_EN.html,,,,
163,River Redhorse ,Ontario Ministry of Natural Resources,River Redhorse ,Moxostoma carinatum,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RVR_RDHRS_EN.html,,,,
164,Round Hickorynut ,Ontario Ministry of Natural Resources,Round Hickorynut ,Obovaria subrotunda,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RND_HCKRYNUT_EN.html,,,,
165,Round Pigtoe ,Ontario Ministry of Natural Resources,Round Pigtoe ,Pleurobema sintoxia,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RND_PIGTOE_EN.html,,,,
166,Round-leaved Greenbrier ,Ontario Ministry of Natural Resources,Round-leaved Greenbrier ,Smilax rotundifolia,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RND_LVD_GRNBRR_EN.html,,,,
167,Rusty-patched Bumble Bee ,Ontario Ministry of Natural Resources,Rusty-patched Bumble Bee ,Bombus affinis,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RSTY_PTCHD_BMBL_B_EN.html,,,,
168,Salamander Mussel ,Ontario Ministry of Natural Resources,Salamander Mussel ,Simpsonaias ambigua,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SLMNDR_MSSL_EN.html,,,,
169,Scarlet Ammannia ,Ontario Ministry of Natural Resources,Scarlet Ammannia ,Ammannia robusta,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SCRLT_AMMNN_EN.html,,,,
170,Short-eared Owl ,Ontario Ministry of Natural Resources,Short-eared Owl ,Asio flammeus,~,Special concern species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SHRT_ERD_OWL_EN.html,,,,
171,Shortjaw Cisco ,Ontario Ministry of Natural Resources,Shortjaw Cisco ,Coregonus zenithicus,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SHRTJW_CISCO_EN.html,,,,
172,Shortnose Cisco ,Ontario Ministry of Natural Resources,Shortnose Cisco ,Coregonus reighardi,~,Endangered species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SHRTNS_CISCO_EN.html,,,,
173,Showy Goldenrod ,Ontario Ministry of Natural Resources,Showy Goldenrod ,Solidago speciosa,~,Threatened species (Boreal population); Endangered species (Great Lakes Plains population) ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SHWY_GLDNRD_EN.html,,,,
174,Shumard Oak ,Ontario Ministry of Natural Resources,Shumard Oak ,Quercus shumardii,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SHMRD_OAK_EN.html,,,,
175,Silver Chub ,Ontario Ministry of Natural Resources,Silver Chub ,Macrhybopsis storeriana,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SLVR_CHUB_EN.html,,,,
176,Silver Lamprey ,Ontario Ministry of Natural Resources,Silver Lamprey ,Ichthyomyzon unicuspis,~,Special concern species (Great Lakes — Upper St. Lawrence River Population) ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SILVR_LMPRY_EN.html,,,,
177,Silver Shiner ,Ontario Ministry of Natural Resources,Silver Shiner ,Notropis photogenis,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SLVR_SHNR_EN.html,,,,
178,Skinner's Agalinis ,Ontario Ministry of Natural Resources,Skinner's Agalinis ,Agalinis skinneriana,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SKNNRS_AGLNS_EN.html,,,,
179,Slender Bush-clover ,Ontario Ministry of Natural Resources,Slender Bush-clover ,Lespedeza virginica,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SLNDR_BSH_CLVR_EN.html,,,,
180,Small White Lady's-slipper ,Ontario Ministry of Natural Resources,Small White Lady's-slipper ,Cypripedium candidum,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SML_WHT_LDY_SLPR_EN.html,,,,
181,Small Whorled Pogonia ,Ontario Ministry of Natural Resources,Small Whorled Pogonia ,Isotria medeoloides,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SML_WHRLD_PGNIA_EN.html,,,,
182,Small-flowered Lipocarpha ,Ontario Ministry of Natural Resources,Small-flowered Lipocarpha ,Lipocarpha micrantha,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SML_FLWRD_LPCRPH_EN.html,,,,
183,Small-mouthed Salamander ,Ontario Ministry of Natural Resources,Small-mouthed Salamander ,Ambystoma texanum,~,Endangered species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SML_MTH_SLMNDR_EN.html,,,,
184,Snuffbox ,Ontario Ministry of Natural Resources,Snuffbox ,Epioblasma triquetra,~,Endangered species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SNUFFBOX_EN.html,,,,
185,Spiny Softshell ,Ontario Ministry of Natural Resources,Spiny Softshell ,Apalone spinifera spinifera,~,Threatened species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPNY_SFTSHL_EN.html,,,,
186,Spoon-leaved Moss ,Ontario Ministry of Natural Resources,Spoon-leaved Moss ,Bryoandersonia illecebra,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPN_LVD_MSS_EN.html,,,,
187,Spotted Gar ,Ontario Ministry of Natural Resources,Spotted Gar ,Lepisosteus oculatus,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPTTD_GAR_EN.html,,,,
188,Spotted Sucker ,Ontario Ministry of Natural Resources,Spotted Sucker ,Minytrema melanops,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPTTD_SCKR_EN.html,,,,
189,Spotted Turtle ,Ontario Ministry of Natural Resources,Spotted Turtle ,Clemmys guttata,~,Endangered species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPTTD_TRTL_EN.html,,,,
190,Spotted Wintergreen ,Ontario Ministry of Natural Resources,Spotted Wintergreen ,Chimaphila maculata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPTTD_WNTRGRN_EN.html,,,,
191,Spring Blue-eyed Mary ,Ontario Ministry of Natural Resources,Spring Blue-eyed Mary ,Collinsia verna,~,Extirpated species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPRNG_BL_EYD_MRY_EN.html,,,,
192,Spring Salamander ,Ontario Ministry of Natural Resources,Spring Salamander ,Gyrinophilus porphyriticus,~,Extirpated species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SPRING_SALAMANDER_EN.html,,,,
193,Swamp Rose-mallow ,Ontario Ministry of Natural Resources,Swamp Rose-mallow ,Hibiscus moscheutos,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SWMP_RS_MLLW_EN.html,,,,
194,Timber Ratlesnake ,Ontario Ministry of Natural Resources,Timber Ratlesnake ,Crotalus horridus,~,Extirpated species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_TIMBER_RATTLESNAKE_EN.html,,,,
195,Toothcup ,Ontario Ministry of Natural Resources,Toothcup ,Rotala ramosior,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_TOOTHCUP_EN.html,,,,
196,Tuberous Indian-plantain ,Ontario Ministry of Natural Resources,Tuberous Indian-plantain ,Arnoglossum plantagineum,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_TBRS_INDN_PLNTN_EN.html,,,,
197,Upper Great Lakes Kiyi ,Ontario Ministry of Natural Resources,Upper Great Lakes Kiyi ,Coregonus kiyi kiyi,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_UPPR_GRT_LKS_KIYI_EN.html,,,,
198,Virginia Goat's-rue ,Ontario Ministry of Natural Resources,Virginia Goat's-rue ,Tephrosia virginiana,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_VRGNA_GTS_RU_EN.html,,,,
199,Warmouth ,Ontario Ministry of Natural Resources,Warmouth ,Lepomis gulosus,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_WARMOUTH_EN.html,,,,
200,Wavy-rayed Lampmussel ,Ontario Ministry of Natural Resources,Wavy-rayed Lampmussel ,Lampsilis fasciola,~,Threatened species ,~,Website,Molluscs,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_WVY_RYD_LMPMSSL_EN.html,,,,
