Resource Number,Resource Title,Author,Species - Common Name,Species - Scientific Name,Sector,Regulation,Activity,Resource Type,Taxanomic Group,URL: ,PDF Required?,Tot # of PDFs Required:,23,URL to actual document (to be included in PDF coversheet)
22,Gray Ratsnake  ,Ontario Ministry of Natural Resources,Gray Ratsnake,Pantherophis spiloides,~,Endangered species; Gray ratsnake (Carolinian population) habitat; Gray ratsnake (Frontenac Axis population) habitat,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_GRY_RATSNAKE_EN.html,,,,
23,Horned Grebe  ,Ontario Ministry of Natural Resources,Horned Grebe,Podiceps auritus,~,Special concern species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HRND_GRB_EN.html,,,,
24,Jefferson salamander  ,Ontario Ministry of Natural Resources,Jefferson salamander,Ambystoma jeffersonianum,~,Threatened species; Jefferson salamander habitat,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_JFFRSN_SLMNDR_EN.html,,,,
25,Lake Sturgeon  ,Ontario Ministry of Natural Resources,Lake Sturgeon,Acipenser fulvescens,~,Threatened species; Fishing — incidental catch; Aquatic species; Hydro-electric generating stations,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LK_STRGN_EN.html,,,,
26,Loggershead Shrike  ,Ontario Ministry of Natural Resources,Loggerhead Shrike,Lanius ludovicianus,~,Endangered species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_LGGRHD_SHRK_EN.html,,,,
27,Monarch  ,Ontario Ministry of Natural Resources,Monarch,Danaus plexippus,~,Special concern species,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_MNRCH_BTTRFLY_EN.html,,,,
28,Northern Barrens Tiger Beetle  ,Ontario Ministry of Natural Resources,Northern Barrens Tiger Beetle,Cicindela patruela,~,Endangered species; Northern barrens tiger beetle habitat,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_NRTHRN_BA_TGR_BTL_EN.html,,,,
29,Ogden's Pondweed  ,Ontario Ministry of Natural Resources,Ogden's Pondweed ,Potamogeton ogdenii,~,Endangered species; Ogden’s pondweed habitat,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_OGDNS_PNDWD_EN.html,,,,
30,Olive-sided Flycatcher  ,Ontario Ministry of Natural Resources,Olive-sided Flycatcher,Contopus cooperi,~,Special concern species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_OLV_SDD_FLYCTCHR_EN.html,,,,
31,Pale-bellied Frost Lichen  ,Ontario Ministry of Natural Resources,Pale-bellied Frost Lichen,Physconia subpallida,~,Endangered species; Pale-bellied frost lichen habitat ,~,Website,Lichens,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PL_BLD_FRST_LCHN_EN.html,,,,
32,Peregrine falcon  ,Ontario Ministry of Natural Resources,Peregrine falcon,Falco peregrinus,~,Threatened species; Peregrine falcon habitat,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PRGRN_FLCN_EN.html,,,,
33,Piping Plover  ,Ontario Ministry of Natural Resources,Piping Plover,Charadrius melodus,~,Endangered species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PPNG_PLVR_EN.html,,,,
34,Polar Bear  ,Ontario Ministry of Natural Resources,Polar Bear,Ursus maritimus,~,Threatened species,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_PLR_BR_EN.html,,,,
35,Rapids Clubtail  ,Ontario Ministry of Natural Resources,Rapids Clubtail,Gomphus quadricolor,~,Endangered species; Rapids clubtail habitat ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RPDS_CLBTL_EN.html,,,,
36,Red Knot rufa subspecies  ,Ontario Ministry of Natural Resources,Red Knot rufa subspecies,Calidris canutus rufa,~,Endangered species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RD_KNT_EN.html,,,,
37,Red Mulberry  ,Ontario Ministry of Natural Resources,Red Mulberry,Morus rubra,~,Endangered species,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RD_MLBRRY_EN.html,,,,
38,Redside Dace  ,Ontario Ministry of Natural Resources,Redside Dace,Clinostomus elongatus,~,"Endangered species; Redside dace habitat; Development and infrastructure — redside dace, Fishing — incidental catch",~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_RDSD_DACE_EN.html,,,,
39,Snapping Turtle  ,Ontario Ministry of Natural Resources,Snapping Turtle,Chelydra serpentina,~,Special concern species,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_SNPPNG_TRTL_EN.html,,,,
40,Virginia Mallow  ,Ontario Ministry of Natural Resources,Virginia Mallow,Sida hermaphrodita,~,Endangered species; Virginia mallow habitat,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_VIRGINIA_MALLW_EN.html,,,,
